sla_allele,sla_locus,archived_haplotype,archived_haplotypes,curated_haplotypes_all,source,reason
SLA-DQA*01:01,SLA-DQA,Hp-35.23,Hp-35.23,"Hp-1a.1, Hp-35.23",approved TableS1_haplotype_nearest_and_most_distant_HLA.csv,"the allele sits in more than one curated haplotype and the approved table reports one; the selection rule is not recorded in any surviving source and no candidate rule tested (first row, last row, first/last commercial row) reproduces it"
SLA-DQA*02:02:02,SLA-DQA,Hp-28.15b,Hp-28.15b,"Hp-28.15b, Hp-4b.5",approved TableS1_haplotype_nearest_and_most_distant_HLA.csv,"the allele sits in more than one curated haplotype and the approved table reports one; the selection rule is not recorded in any surviving source and no candidate rule tested (first row, last row, first/last commercial row) reproduces it"
SLA-DRA*02:03:01,SLA-DRA,Hp-28.15b,Hp-28.15b,"Hp-28.15b, Hp-4b.5",approved TableS1_haplotype_nearest_and_most_distant_HLA.csv,"the allele sits in more than one curated haplotype and the approved table reports one; the selection rule is not recorded in any surviving source and no candidate rule tested (first row, last row, first/last commercial row) reproduces it"
