analysis,n_relationships,n_rendered_edges,edge_rule,edge_weight,retained_probability_mass_fraction
class1,486,486,all mean probabilities > 0,mean ensemble probability per SLA sequence,1.0
class2,44,44,all mean probabilities > 0,mean ensemble probability per SLA sequence,1.0
