left,right,distance,n_loci
6.0,7.0,17.400000000000006,2.0
5.0,8.0,20.930000000000007,2.0
4.0,9.0,39.18,3.0
2.0,10.0,41.53,3.0
11.0,12.0,43.12222222222223,6.0
1.0,13.0,67.03166666666667,7.0
0.0,14.0,73.85285714285715,8.0
3.0,15.0,85.2325,9.0
