label,n
DQB102,419
DQB103,920
DQB104,167
DQB105,588
DQB106,863
DQB1_Other,0
DRB101,256
DRB103,317
DRB104,585
DRB107,236
DRB108,193
DRB111,531
DRB112,174
DRB113,531
DRB114,373
DRB115,373
DRB116,119
DRB1_Other,172
DRB3_Other,734
DRB4_Other,321
DRB5_Other,236
DPB1_Other,2969
