true_locus,DPB1,DQB1,DRB1,DRB3,DRB4,DRB5
DPB1,0.99949,0.00051,0.0,0.0,0.0,0.0
DQB1,0.0,1.0,0.0,0.0,0.0,0.0
DRB1,0.0,0.0,0.99619,0.00381,0.0,0.0
DRB3,0.0,0.0,0.00405,0.99595,0.0,0.0
DRB4,0.0,0.0,0.0,0.0,1.0,0.0
DRB5,0.0,0.0,0.00513,0.0,0.0,0.99487
