analysis,scope,reading,n_sla,n_hla,n_pairs,n_eplet_positions,n_other_positions,n_eplet_observations,n_other_observations,eplet_mean,other_mean,difference,boot_ci_low,boot_ci_high,n_bootstrap,profile_difference,n_shifts,n_shifts_at_least_as_extreme,circular_shift_p_uncorrected,circular_shift_p,circular_shift_p_reported,p_estimator,mannwhitney_p_descriptive,max_pairs_per_hla,mean_pairs_per_hla,primary_reading,mismatch_eplet_pct,mismatch_other_pct,excess_mismatch_pp,excess_ci_low_pp,excess_ci_high_pp
class1,ALL,agree_gap_skip,259,42,259,61,249,14992,56379,0.5901,0.7817,-0.1915,-0.1968,-0.1869,2000,-0.1783,10000,0,0.0,9.999000099990002e-05,p < 1e-04,(extreme + 1) / (shifts + 1); floor 1/(N+1),0.0,151,6.17,True,40.99,21.830000000000005,19.15,18.69,19.68
class1,ALL,agree_gap_mismatch,259,42,259,61,249,15799,64254,0.56,0.6859,-0.1259,-0.1374,-0.1142,2000,-0.0619,10000,2654,0.2654,0.26547345265473454,p = 0.2655,(extreme + 1) / (shifts + 1); floor 1/(N+1),4.877e-197,151,6.17,False,43.99999999999999,31.410000000000004,12.590000000000002,11.42,13.74
class2,ALL,agree_gap_skip,151,20,151,52,165,5937,14448,0.7233,0.8367,-0.1134,-0.1223,-0.1043,2000,-0.1366,10000,5,0.0005,0.0005999400059994001,p = 0.0005999,(extreme + 1) / (shifts + 1); floor 1/(N+1),1.5330000000000002e-76,36,7.55,True,27.669999999999995,16.33,11.34,10.43,12.23
class2,ALL,agree_gap_mismatch,151,20,151,52,165,7852,24915,0.5469,0.4852,0.0617,0.0346,0.088,2000,0.0451,10000,5192,0.5192,0.5192480751924807,p = 0.5192,(extreme + 1) / (shifts + 1); floor 1/(N+1),1.508e-21,36,7.55,False,45.309999999999995,51.47999999999999,-6.17,-8.799999999999999,-3.46
