analysis,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,seconds
class1,42,0,2.6042496200923404,0.3845745034212449,1.6814302149659544,0.6395557147975636,898.9082481861115
class1,42,1,0.8087268085057796,0.8831462167009898,0.7696633870906618,0.8366176997491939,894.8641545772552
class1,42,2,0.1582275504156148,0.9889722978808212,0.4734571489559861,0.8971694733070584,894.9906423091888
class1,42,3,0.049180371606262,0.996346243273766,0.3957212304830583,0.9132927266212828,895.0077259540558
class1,42,4,0.0358011271956275,0.9979406098452136,0.3870399624438951,0.926191329272662,894.3161511421204
class1,43,0,2.6652311324307134,0.3331101887802918,1.648131932706892,0.6311080523055747,892.4152512550354
class1,43,1,0.9276927968938278,0.843821127326282,0.7020692888285813,0.811424638678596,891.5253469944
class1,43,2,0.2128844961518024,0.977841745882983,0.4281393830399737,0.8726772195457674,891.0170402526855
class1,43,3,0.0682516993089666,0.9941089837997056,0.3596362341195345,0.8974535443909153,890.9292237758636
class1,43,4,0.0514737322142459,0.9964520016066408,0.3540015796376347,0.8974535443909153,890.978182554245
class1,44,0,2.854302674033703,0.2700280861308011,1.9888387343875265,0.556401384083045,890.4787395000458
class1,44,1,1.148165702947372,0.7857429450314297,0.9415359170430672,0.8044982698961938,889.7142238616943
class1,44,2,0.3113998488594189,0.9640230038785608,0.5774423704582514,0.8764705882352941,889.7309222221375
class1,44,3,0.1008229517786837,0.9933796977397352,0.509459372856058,0.8913494809688581,889.7725162506104
class1,44,4,0.0740027719119884,0.9951852347198074,0.4681980456435041,0.8934256055363322,890.6562266349792
class1,45,0,2.5926447826849808,0.3783169574226321,1.599435004764574,0.6711758584807492,891.5133724212646
class1,45,1,0.8346097640323173,0.8735378651159682,0.7570996597083625,0.8331599028789456,890.5662376880646
class1,45,2,0.1804280158359651,0.9838914511062096,0.6245814820843937,0.8671522719389525,891.4553096294403
class1,45,3,0.0572379748217762,0.9965911369560858,0.5202835240348672,0.8747832119320152,890.8065655231476
class1,45,4,0.043643869568691,0.997794265089232,0.4676295685524685,0.8851890391952827,890.6930117607117
class1,46,0,2.6632085030761554,0.4095111406717658,1.65085782891026,0.6696333214667142,894.1162667274475
class1,46,1,0.8703590060691719,0.8494845360824742,0.7211816636702904,0.8526165895336418,893.4678390026093
class1,46,2,0.2040610645473063,0.9794479547721984,0.4021533091548245,0.902812388750445,893.5206689834595
class1,46,3,0.0602596626751122,0.9963418689723976,0.3569740660663664,0.9170523317906728,893.4201576709747
class1,46,4,0.0454426690911311,0.9979381443298968,0.3455739066597563,0.9152723389106444,894.2180953025818
